,description,link,location,phone,service_name,va_facility
121,The Telephone Triage and Information Program can be reached by calling: (806) 354-7837 or 1-800-OUR-VMED (687-8633),http://www.amarillo.va.gov/services/Tele_Nurse_Triage_After_Hours_Program.asp,Amarillo VA Health Care System,806-354-7837,Tele-Nurse Triage After-Hours Program,amarillo
122,New technologies such as telehealth help improve health care services.,http://www.amarillo.va.gov/services/Telehealth.asp,Thomas E. Creek VA Medical Center,806-355-9703 Ext. 4513,Telehealth,amarillo
123,Tobacco Cessation Program helps Veterans who want to quit tobacco for good.,http://www.amarillo.va.gov/services/Tobacco_Cessation_Program.asp,Thomas E. Creek VA Medical Center,806-355-9703 Ext. 7765,Tobacco Cessation Program,amarillo
124,The Veterans Readjustment Counseling Center staff offers education and counseling to combat Vets.,http://www.amarillo.va.gov/services/Vet_Center.asp,"3414 Olsen BlvdSuite EAmarillo, TX 79109",806-354-9779  877-927-8387,Vet Center,amarillo
125,"Bariatric surgery, also known as weight loss surgery, accomplishes dramatic and long-lasting weight loss.",http://www.annarbor.va.gov/services/Bariatric_Surgery.asp,VA Ann Arbor Healthcare System,734-769-7100,Bariatric Surgery,annarbor
126,Services that can provide you and the Veteran you care for with support programs both in and out of your home.,http://www.annarbor.va.gov/services/Caregiver_Support.asp,VA Ann Arbor Healthcare System,734-222-7108 Ext. 27108  800-361-8387 Ext. 27108,Caregiver Support,annarbor
127,The VAAAHS has dedicated staff serving our Former Prisoners of War.,http://www.annarbor.va.gov/services/FPOW.asp,VA Ann Arbor Healthcare System,734-845-5180  419-213-7539,Former Prisoners of War Information,annarbor
128,"A MFH provides a safe, home-like environment and an economical long-term care alternative for Veterans who are unable to live independently.",http://www.annarbor.va.gov/services/medicalfosterhome.asp,VA Ann Arbor Healthcare System,734-222-4269 Ext. 24269  800-361-8387 Ext. 24269,Medical Foster Home Program,annarbor
129,"The mental health program provides consultation, evaluation, and treatment for a variety of issues that can impact emotional well-being.",http://www.annarbor.va.gov/services/mentalhealth.asp,"Mental Health Clinic7th Floor, Room B707Located next to the Liberty Elevators",734-845-3471 Ext. 53471  800-361-8387 Ext. 53471,Mental Health,annarbor
130,"Palliative Care is the medical specialty focused on relief of the pain, stress and other debilitating symptoms of serious illness.",http://www.annarbor.va.gov/services/palliativecare.asp,VA Ann Arbor Healthcare System,734-845-3666,Palliative Care,annarbor
131,"Our pharmacy processes more than 2,000 prescriptions daily. Prescriptions may be refilled by mail, phone, or online.",http://www.annarbor.va.gov/services/pharmacy.asp,"Outpatient PharmacyHospital, first floorRoom D196",866-316-9350 Ext. 1  734-769-7100 Ext. 3,Pharmacy,annarbor
132,The primary care program offers an extensive range of treatments with an emphasis on health care prevention.,http://www.annarbor.va.gov/services/primary.asp,VA Ann Arbor Healthcare System,800-361-8387  734-769-7100,Primary Care,annarbor
133,"Our extended care and rehabilitation program provides physical medicine and rehabilitation, as well as home and community care.",http://www.annarbor.va.gov/services/ecrc.asp,"Extended Care CenterFirst floor, Room F149",800-361-8387  734-769-7100,Rehabilitation and Extended and Palliative Care Services,annarbor
134,Our research and development program enhances our ability to provide state-of-the-art medical techniques and treatments to veterans.,http://www.annarbor.va.gov/services/research.asp,VA Ann Arbor Healthcare System,800-361-8387  734-769-7100,Research,annarbor
135,This program uses video teleconferencing to link several primary care providers to a specialist at the VA Ann Arbor Medical Center.,http://www.annarbor.va.gov/services/scan-echo.asp,VA Ann Arbor Healthcare System,734-222-7594 Ext. 27594  800-361-8387 Ext. 27594,SCAN-ECHO,annarbor
136,Social/Community-based Service is an integral part of healthcare. Our program assists veterans with counseling and community services.,http://www.annarbor.va.gov/services/socialwork.asp,"HospitalFirst floor, Room B157",734-845-3417,Social Work,annarbor
137,"Our specialty care program offers all surgical specialties as well as neurology, radiation, oncology, and audiology.",http://www.annarbor.va.gov/services/specialty.asp,VA Ann Arbor Healthcare System,800-361-8387  734-769-7100,Specialty Care,annarbor
138,"Our spinal cord injury program provides comprehensive care to patients who have suffered spinal cord injuries, including surgery and rehabilitation.",http://www.annarbor.va.gov/services/sci.asp,"SCI ClinicHospital2nd floor, Room B206B",800-361-8387  734-769-7100,Spinal Cord Injury (SCI),annarbor
139,The goal of the Justice Outreach Program is to provide treatment and support to Veterans who find themselves involved in the criminal justice system.,http://www.annarbor.va.gov/services/VJO.asp,VA Ann Arbor Healthcare System,734-645-7950,Veteran Justice Outreach,annarbor
140,VITAL is a partnership approach to assist student Veterans excel in the transition from Service Member to Student.,http://www.annarbor.va.gov/services/Veterans_Integration_to_Academic_Leadership.asp,VA Ann Arbor Healthcare System,734-845-5793  734-548-3452,Veterans Integration to Academic Leadership (VITAL),annarbor
141,"Audiology, Ear, Nose and Throat, Speech Pathology",http://www.asheville.va.gov/services/Audiology.asp,1G102Charles George VA Medical Center,828-298-7911 Ext. 2541,Audiology,asheville
142,"Our extended care and rehabilitation program provides physical medicine and rehabilitation, transitional care, as well as home and community care.",http://www.asheville.va.gov/services/ecrc.asp,"ECRC, First floor, Room 112-62",828-298-7911,Extended Care and Rehabilitation,asheville
143,Home Based Primary Care (HBPC) serves as the primary care provider for veterans with complex chronic diseases for whom traditional clinic based care is not effective.,http://www.asheville.va.gov/services/Home_Based_Primary_Care.asp,"Building 57, 5th floor, Room 112-62",828-298-7911 Ext. 5703,Home Based Primary Care,asheville
144,Our Hospice and Palliative Care Service provides inpatient and outpatient consultation at the Charles George VA Medical Center.,http://www.asheville.va.gov/services/Hospice_and_Palliative_Care.asp,Charles George VA Medical Center,828-298-7911 Ext. 1760/3158/5312,Hospice and Palliative Care,asheville
145,The Medical Foster Home Program matches disabled Veterans with non-family caregivers who share their homes to provide ongoing care.,http://www.asheville.va.gov/services/MFHC.asp,Charles George VA Medical Center,828-298-7911 Ext. 5834,Medical Foster Home Care,asheville
146,"Our mental health program provides consultation, evaluation, and treatment for a variety of issues that can impact emotional well-being.",http://www.asheville.va.gov/services/mentalhealth.asp,"Mental Health ClinicBuilding 70, First floor, Room B70MH",828-298-7911,Mental Health,asheville
147,"My HealtheVet is a free, online Personal Health Record available to Veterans, their family members and VA employees.",http://www.asheville.va.gov/services/MHV.asp,Charles George VA Medical Center,828-298-7911 Ext. 3511  828-298-7911 Ext. 5954,MyHealthevet Coordinator,asheville
148,"Our pharmacy processes more than 5,000 prescriptions daily. Prescriptions may be refilled by mail, phone, or online.",http://www.asheville.va.gov/services/pharmacy.asp,"Outpatient PharmacyAmbulatory Care building, First floor, Room B144",828-298-7911 Ext. 2  800-932-6408 Ext. 2,Pharmacy,asheville
149,"VA Police serve as a protective police force in order to deter and prevent crime, maintain order, and investigate crimes within their jurisdiction.",http://www.asheville.va.gov/services/VA_Police.asp,Building 47,828-298-7911 Ext. 5310,Police,asheville
150,Our primary care program offers an extensive range of treatments with an emphasis on health care prevention.,http://www.asheville.va.gov/services/primary.asp,"Ambulatory CareFirst floor, Room 1APC",828-298-7911,Primary Care,asheville
151,The predoctoral internship program at the Asheville VA Medical Center is fully accredited by the American Psychological Association.,http://www.asheville.va.gov/services/Psychology.asp,"1100 Tunnel RoadAsheville, NC 28805",828-298-7911 Ext. 5116,Psychology Services,asheville
152,Our research and development program enhances our ability to provide state-of-the-art medical techniques and treatments to veterans.,http://www.asheville.va.gov/services/research.asp,"Building 47, Basement level, BRes",828-299-5909,Research,asheville
153,"Rural Health offers health education, benefits information, and health services to Veterans in the communities that the Medical Center serves.",http://www.asheville.va.gov/services/ruralhealth.asp,Charles George VA Medical Center,828-296-4462,Rural Health,asheville
154,Social Work provides eligible Veterans and their families with counseling and services that help them with community adjustment and social functioning.,http://www.asheville.va.gov/services/socialwork.asp,"Building 47, 4th floor, Room A469",828-298-7911 Ext. 5335,Social Work,asheville
155,"Our specialty care program offers all surgical specialties as well as neurology, radiation, oncology, and audiology.",http://www.asheville.va.gov/services/specialty.asp,Charles George VA Medical Center,828-299-5356,Specialty Care,asheville
156,"Our spinal cord injury program provides comprehensive care to patients who have suffered spinal cord injuries, including surgery and rehabilitation.",http://www.asheville.va.gov/services/sci.asp,"Charles George VA Medical Center, Main Building, 1st Floor",828-298-7911 Ext. 2517,Spinal Cord Injury,asheville
157,Our Women Veterans Program Manager advises and advocates for women Veterans.,http://www.asheville.va.gov/services/Women_Veterans_Health.asp,Charles George VA Medical CenterBuilding 47Women Veterans Health Clinic,828-298-7911 Ext. 5434,Women Veterans Health,asheville
158,Our team of Audiologists provides comprehensive Audiology services.,http://www.atlanta.va.gov/services/Audiology.asp,"Clinical Addition, GA107",404-321-6111 Ext. 6515  404-321-6111 Ext. 6520,Audiology,atlanta
159,The Bronze Clinic is a Geriatric Primary Care Clinic with specially trained interdisciplinary staff equipped to treat veterans above the age of 75.,http://www.atlanta.va.gov/services/Bronze_Geri_PACT_Clinic.asp,"Building C, 11th floor",404-728-7663,Bronze Geri-PACT Clinic,atlanta
160,CWT Program information at the Atlanta VAMC,http://www.atlanta.va.gov/services/CWT_Program.asp,Atlanta VAMC,404-321-6111 Ext. 6900,CWT Program,atlanta
161,"Competent, kind, and respectful spiritual care is available 24 hours a day, 7 days a week.",http://www.atlanta.va.gov/services/Chaplain_Service.asp,"Chaplain Service Offices, 1C186Chapel, 1C182BGathering Place, 1C182",404-321-6111 Ext. 6870  404-321-6111 Ext. 6871,Chaplain Service,atlanta
162,"The Compensation and Pension Clinic offers the following types of services:  C and P Evaluation, Agent Orange Registry, Gulf War Program, and Special Examinations.",http://www.atlanta.va.gov/services/Compensation_and_Pension.asp,Fulton County Clinic,404-321-6111 Ext. 1900,Compensation and Pension,atlanta
163,The Dental Clinic provides dental services for veterans eligible for VA dental care.,http://www.atlanta.va.gov/services/Dental_Clinic.asp,"Main Building, 1C400Trinka Davis Veterans Village, Carrollton",404-321-6111 Ext. 6400,Dental Clinic,atlanta
164,"The Emergency Department is a 15-bed unit that is open 24 hours a day, 365 days per year.",http://www.atlanta.va.gov/services/Emergency_Department.asp,"Main Campus, Building B, 1st floor",404-321-6111,Emergency Department,atlanta
165,"In the event of an emergency or disaster, the Atlanta VAMC will implement the Emergency Operations Plans to make certain that the necessary services are provided.",http://www.atlanta.va.gov/services/Emergency_Management.asp,3A187,404-321-6111 Ext. 5895  404-583-3938,Emergency Management,atlanta
166,Empower Veterans Program coaches Veterans with chronic pain to live a fuller life by moving toward their own Wellness goals.,http://www.atlanta.va.gov/services/Empower_Veterans_Program.asp,Atlanta VA Clinic,404-321-6111 Ext. 3344,Empower Veterans Program,atlanta
